cycle_number,channel_number,marker_name
1,1,DAPI-1
1,2,Blank-1
1,3,Blank-2
1,4,Blank-3
2,5,DAPI-2
2,6,Keratin19
2,7,Myosin
2,8,PCNA
3,9,DAPI-3
3,10,Vimentin
3,11,CD34
3,12,FoxA1
4,13,DAPI-4
4,14,Keratin17
4,15,S100A4
4,16,CollagenIV
5,17,DAPI-5
5,18,E-cadherin
5,19,CD31
5,20,FoxP3
6,21,DAPI-6
6,22,b-catenin1
6,23,Ki67
6,24,CD68
7,25,DAPI-7
7,26,Keratin8
7,27,Perlecan
7,28,PR
8,29,DAPI-8
8,30,b-actin
8,31,TFAM
8,32,CD3e
9,33,DAPI-9
9,34,Keratin18
9,35,E2F1
9,36,SMA
10,37,DAPI-10
10,38,MHCI
10,39,CD8
10,40,Runx3
11,41,DAPI-11
11,42,CD227
11,43,LaminB1
11,44,CD66e
12,45,DAPI-12
12,46,Ch2Cy12
12,47,MHCII
12,48,TP63
13,49,DAPI-13
13,50,Ch2Cy13
13,51,Ch3Cy13
13,52,H2A.X
14,53,DAPI-14
14,54,Ch2Cy14
14,55,Ch3Cy14
14,56,Keratin5
15,57,DAPI-15
15,58,Ch2Cy15
15,59,Keratin14
15,60,p53
16,61,DAPI-16
16,62,Blank-4
16,63,Blank-5
16,64,Blank-6